doc,line,file,pred,gt,cer,time_ms
0b2c2464e662f5d4f44ebac6e14a099b,1,0b2c2464e662f5d4f44ebac6e14a099b_linea_01.jpg,Diario de una picsena con,Diario de una persona con,0.120000,1447.7
0b2c2464e662f5d4f44ebac6e14a099b,3,0b2c2464e662f5d4f44ebac6e14a099b_linea_03.jpg,y cuando menos púnsas es cuando hodo sacede.,Y cuando menos piensas es cuando todo sucede,0.136364,1184.3
0b2c2464e662f5d4f44ebac6e14a099b,4,0b2c2464e662f5d4f44ebac6e14a099b_linea_04.jpg,"cuándo , te sintes tua bien cartigo nlsma es","cuándo, te sientes tan bien contigo mismo es",0.204545,1482.1
0b2c2464e662f5d4f44ebac6e14a099b,5,0b2c2464e662f5d4f44ebac6e14a099b_linea_05.jpg,cuando de repente te suntes completamente —,cuando de repente te sientes completamente,0.095238,934.4
0b2c2464e662f5d4f44ebac6e14a099b,6,0b2c2464e662f5d4f44ebac6e14a099b_linea_06.jpg,distrozada y cominzas can todos esas piquentes,destrozada y comienzas con todas esas preguntas,0.191489,1370.7
0b2c2464e662f5d4f44ebac6e14a099b,7,0b2c2464e662f5d4f44ebac6e14a099b_linea_07.jpg,una y otra vez todo el día y todos los días.,una y otra vez todo el día y todos los días,0.023256,1184.3
0b2c2464e662f5d4f44ebac6e14a099b,8,0b2c2464e662f5d4f44ebac6e14a099b_linea_08.jpg,¿ En que momento perdiste el control de todo? .,¿En que momento perdiste el control de todo?,0.068182,1230.6
0b2c2464e662f5d4f44ebac6e14a099b,9,0b2c2464e662f5d4f44ebac6e14a099b_linea_09.jpg,¿ En que momento todo se turno tan difióí?,¿En que momento todo se tornó tan difícil?,0.166667,1380.7
0b2c2464e662f5d4f44ebac6e14a099b,10,0b2c2464e662f5d4f44ebac6e14a099b_linea_10.jpg,¿ Qué va eso que estaba tan mal para llorar y-,¿Qué era eso que estaba tan mal para llorar y,0.088889,1192.5
0b2c2464e662f5d4f44ebac6e14a099b,11,0b2c2464e662f5d4f44ebac6e14a099b_linea_11.jpg,santir la necesidad de que alguiía estuvera carffipo,sentir la necesidad de que alguien estuviera contigo,0.173077,1370.5
0b2c2464e662f5d4f44ebac6e14a099b,12,0b2c2464e662f5d4f44ebac6e14a099b_linea_12.jpg,in use maminó? si antes eras tan. suficiale .,en ese momento? si antes eras tan suficiente,0.272727,1348.2
0b2c2464e662f5d4f44ebac6e14a099b,13,0b2c2464e662f5d4f44ebac6e14a099b_linea_13.jpg,contigo mismo para sanarte tantas beridas suo,contigo mismo para sanarte tantas heridas sin,0.066667,1133.5
0b2c2464e662f5d4f44ebac6e14a099b,15,0b2c2464e662f5d4f44ebac6e14a099b_linea_15.jpg,y todo se vuelva más dlícil aún cuando confirma,Y todo se vuelva más difícil aún cuando comienzas,0.183673,1423.4
0b2c2464e662f5d4f44ebac6e14a099b,16,0b2c2464e662f5d4f44ebac6e14a099b_linea_16.jpg,"a her recáidos todos los días, cada vez que","a tener recaídas todos los días, cada vez que",0.133333,1181.3
0b2c2464e662f5d4f44ebac6e14a099b,17,0b2c2464e662f5d4f44ebac6e14a099b_linea_17.jpg,llonas te destrozas aún más y-suches. quete-,lloras te destrozas aún más y sientes que te,0.204545,1662.5
0b2c2464e662f5d4f44ebac6e14a099b,18,0b2c2464e662f5d4f44ebac6e14a099b_linea_18.jpg,"hundes , en lo más abciaco de tu ser y de piente",hundes en lo más obscuro de tu ser y de pronto,0.217391,1235.3
0b2c2464e662f5d4f44ebac6e14a099b,19,0b2c2464e662f5d4f44ebac6e14a099b_linea_19.jpg,camincas a sentic niedo y la difícil es counda,comienzas a sentir miedo y lo difícil es cuando,0.191489,1366.7
0d2b9636da40f3a98cb0862d387db9f9,1,0d2b9636da40f3a98cb0862d387db9f9_linea_01.jpg,Queridas todos:,Queridos Todos:,0.133333,549.7
0d2b9636da40f3a98cb0862d387db9f9,2,0d2b9636da40f3a98cb0862d387db9f9_linea_02.jpg,Hemos estado en Vallo dolid core los priez,Hemos estado en Valladolid con los primos,0.170732,1021.8
0d2b9636da40f3a98cb0862d387db9f9,3,0d2b9636da40f3a98cb0862d387db9f9_linea_03.jpg,"Sose mique, toico, tio Afri, tia Caseren","José Miguel, Toño, tío Afri, tía Carmen",0.333333,1427.9
0d2b9636da40f3a98cb0862d387db9f9,4,0d2b9636da40f3a98cb0862d387db9f9_linea_04.jpg,y dentio de la convencevre salió el fema,y dentro de la conversación salió el tema,0.219512,1189.2
0d2b9636da40f3a98cb0862d387db9f9,5,0d2b9636da40f3a98cb0862d387db9f9_linea_05.jpg,"de la fuesa de las abreelos ""to divers"" ,","de la finca de los abuelos ""La Rivera"" y",0.275000,1153.9
0d2b9636da40f3a98cb0862d387db9f9,6,0d2b9636da40f3a98cb0862d387db9f9_linea_06.jpg,decisions in pues estaba a punto de casa-,decidimos ir pues estaba a punto de desa-,0.146341,951.5
0d2b9636da40f3a98cb0862d387db9f9,7,0d2b9636da40f3a98cb0862d387db9f9_linea_07.jpg,parecen. Así que fininos y estata presenti,parecer. Así que fuimos y estaba prácticamente,0.282609,1088.4
0d2b9636da40f3a98cb0862d387db9f9,8,0d2b9636da40f3a98cb0862d387db9f9_linea_08.jpg,concente destuidad padosaje irrecursolle,destruido el paisaje irreconocible,0.647059,1074.3
0d2b9636da40f3a98cb0862d387db9f9,9,0d2b9636da40f3a98cb0862d387db9f9_linea_09.jpg,barcen lo codicantedo per la tia y las fotos,según lo comentado por la tía y las fotos,0.292683,1748.3
0d2b9636da40f3a98cb0862d387db9f9,10,0d2b9636da40f3a98cb0862d387db9f9_linea_10.jpg,que levisto. Piescétamos dos públicos de la,que he visto. Rescatamos dos hijos de la,0.250000,1447.3
0d2b9636da40f3a98cb0862d387db9f9,11,0d2b9636da40f3a98cb0862d387db9f9_linea_11.jpg,puenta principal que es lo cinco que modo,puerta principal que es lo único que medio,0.142857,827.8
0d2b9636da40f3a98cb0862d387db9f9,12,0d2b9636da40f3a98cb0862d387db9f9_linea_12.jpg,que de la car pore.,quedó en pie.,0.769231,675.5
0d2b9636da40f3a98cb0862d387db9f9,13,0d2b9636da40f3a98cb0862d387db9f9_linea_13.jpg,fisi que me voj a lior core lleuxae alredador-,Así que me voy a liar con llevar alrededor,0.285714,1431.8
0d2b9636da40f3a98cb0862d387db9f9,14,0d2b9636da40f3a98cb0862d387db9f9_linea_14.jpg,de voxí de Vierro Elenade recuerdas.,de 20 Kg de hierro lleno de recuerdos.,0.263158,1080.2
0d2b9636da40f3a98cb0862d387db9f9,15,0d2b9636da40f3a98cb0862d387db9f9_linea_15.jpg,Hasta otra apartueni dad.,Hasta otra oportunidad.,0.173913,860.6
0db780ef16d50e519302a7a0e1aa4fd3,2,0db780ef16d50e519302a7a0e1aa4fd3_linea_02.jpg,Si a veces silencioso y pensativo,Si a veces silencioso y pensativo,0.000000,1310.7
0db780ef16d50e519302a7a0e1aa4fd3,3,0db780ef16d50e519302a7a0e1aa4fd3_linea_03.jpg,"a tu lado me ves, querida mía,","a tu lado me ves, querida mía,",0.000000,1246.3
0db780ef16d50e519302a7a0e1aa4fd3,4,0db780ef16d50e519302a7a0e1aa4fd3_linea_04.jpg,es porque hallo en tus ojos la armería,es porque hallo en tus ojos la armonía,0.052632,1341.0
0db780ef16d50e519302a7a0e1aa4fd3,5,0db780ef16d50e519302a7a0e1aa4fd3_linea_05.jpg,de un lenguaje tan dulce y expresivo.,de un lenguaje tan dulce y expresivo.,0.000000,1420.6
0db780ef16d50e519302a7a0e1aa4fd3,6,0db780ef16d50e519302a7a0e1aa4fd3_linea_06.jpg,Y eres tan mía entonces que me orivo,Y eres tan mía entonces que me privo,0.027778,1182.8
0db780ef16d50e519302a7a0e1aa4fd3,7,0db780ef16d50e519302a7a0e1aa4fd3_linea_07.jpg,"hasta de oír tu voz, porque creería","hasta de oír tu voz, porque creería",0.000000,1183.9
0db780ef16d50e519302a7a0e1aa4fd3,8,0db780ef16d50e519302a7a0e1aa4fd3_linea_08.jpg,"que rompiendo el silencio, desunía","que rompiendo el silencio, desuniría",0.055556,948.7
0db780ef16d50e519302a7a0e1aa4fd3,9,0db780ef16d50e519302a7a0e1aa4fd3_linea_09.jpg,"mi ser del tuyo, cuando en tu alma vivo.","mi ser del tuyo, cuando en tu alma vivo.",0.000000,1017.9
0db780ef16d50e519302a7a0e1aa4fd3,10,0db780ef16d50e519302a7a0e1aa4fd3_linea_10.jpg,"¡ Y estás tan bellaz mi placer es tanto,","¡Y estás tan bella; mi placer es tanto,",0.051282,1218.6
0db780ef16d50e519302a7a0e1aa4fd3,11,0db780ef16d50e519302a7a0e1aa4fd3_linea_11.jpg,"es tan completo cuando así te miro,",es tan completo cuando así te miro;,0.028571,909.1
0db780ef16d50e519302a7a0e1aa4fd3,12,0db780ef16d50e519302a7a0e1aa4fd3_linea_12.jpg,"siento en mí corazón tan dulce encanto,","siento en mi corazón tan dulce encanto,",0.025641,1336.2
0db780ef16d50e519302a7a0e1aa4fd3,13,0db780ef16d50e519302a7a0e1aa4fd3_linea_13.jpg,"que me parece, a veces, que en ti admiro","que me parece, a veces, que en ti admiro",0.000000,1227.6
0db780ef16d50e519302a7a0e1aa4fd3,14,0db780ef16d50e519302a7a0e1aa4fd3_linea_14.jpg,"una visión celeste, un sueño santo","una visión celeste, un sueño santo",0.000000,920.7
0db780ef16d50e519302a7a0e1aa4fd3,15,0db780ef16d50e519302a7a0e1aa4fd3_linea_15.jpg,que va a desvanecerse si respiro!,que va a desvanecerse si respiro!,0.000000,1090.5
0db780ef16d50e519302a7a0e1aa4fd3,16,0db780ef16d50e519302a7a0e1aa4fd3_linea_16.jpg,Soneto de Guillermo Blest Jana,Soneto de Guillermo Blest Gana,0.033333,848.4
116cab69718985e58ade3a4386b8d2ed,1,116cab69718985e58ade3a4386b8d2ed_linea_01.jpg,8104/2022,8/04/2022,0.111111,561.0
116cab69718985e58ade3a4386b8d2ed,2,116cab69718985e58ade3a4386b8d2ed_linea_02.jpg,"My amor de ayer,","Mi amor de ayer,",0.062500,851.1
116cab69718985e58ade3a4386b8d2ed,3,116cab69718985e58ade3a4386b8d2ed_linea_03.jpg,"Necersito escuiente con urgencia, porque las furlabras se mi","Necesito escribirte con urgencia, porque las palabras se me",0.152542,1638.3
116cab69718985e58ade3a4386b8d2ed,4,116cab69718985e58ade3a4386b8d2ed_linea_04.jpg,"escapen todos los días. No solo las difties, sino también las","escapan todos los días. No solo las difíciles, sino también las",0.063492,1613.6
116cab69718985e58ade3a4386b8d2ed,5,116cab69718985e58ade3a4386b8d2ed_linea_05.jpg,palabras cotidianas. Solo mi mano las recuerde al sscriber.,palabras cotidianas. Solo mi mano las recuerda al escribir.,0.050847,1808.7
116cab69718985e58ade3a4386b8d2ed,6,116cab69718985e58ade3a4386b8d2ed_linea_06.jpg,Tengo pusa antes deone se me olvide con todo el cuerfu lo que,Tengo prisa antes de que se me olvide con todo el cuerpo lo que,0.111111,1787.9
116cab69718985e58ade3a4386b8d2ed,7,116cab69718985e58ade3a4386b8d2ed_linea_07.jpg,"quitro dicirte. Do memore de lo que seré está por aheara, intacto","quiero decirte. La memoria de lo que sentí está, por ahora, intacta",0.194030,1931.9
116cab69718985e58ade3a4386b8d2ed,8,116cab69718985e58ade3a4386b8d2ed_linea_08.jpg,ferroté que en el futuro ni siquiera eso estará.,pero sé que en el futuro ni siquiera eso estará.,0.083333,1346.0
116cab69718985e58ade3a4386b8d2ed,9,116cab69718985e58ade3a4386b8d2ed_linea_09.jpg,"Fueste mi último amor, ti amor si puede llamae a","Fueste mi último amor, si amor si puedo llamar a",0.062500,1375.4
116cab69718985e58ade3a4386b8d2ed,10,116cab69718985e58ade3a4386b8d2ed_linea_10.jpg,"ese pentimiento egoista, al menos el mío, donde los sentido","ese sentimiento egoísta, al menos el mío, donde los sentidos",0.050000,1611.0
116cab69718985e58ade3a4386b8d2ed,11,116cab69718985e58ade3a4386b8d2ed_linea_11.jpg,el place y la culpa fueran las ingradientes que sus invendieron,el placer y la culpa fueran los ingredientes que nos incendiaron,0.109375,1624.1
116cab69718985e58ade3a4386b8d2ed,12,116cab69718985e58ade3a4386b8d2ed_linea_12.jpg,' ¡tove one mire en el estelo y un refeza la imagen que,Hoy me miro en el espejo y no refleja la imagen que,0.294118,1769.1
116cab69718985e58ade3a4386b8d2ed,13,116cab69718985e58ade3a4386b8d2ed_linea_13.jpg,"recuerado de mi, pero también un recuerdo de iná.","recuerdo de mi, pero también ese recuerdo se irá.",0.122449,1374.8
116cab69718985e58ade3a4386b8d2ed,14,116cab69718985e58ade3a4386b8d2ed_linea_14.jpg,"Servi que quería decirte? De bocluo, solo quiero suísitur","Pero ¿qué quería decirte? De hecho, solo quiero escribir",0.267857,1665.8
116cab69718985e58ade3a4386b8d2ed,15,116cab69718985e58ade3a4386b8d2ed_linea_15.jpg,"para das vida á esos cautures del pasado, hacerles nivoir","para dar vida a esos sentires del pasado, hacerlos vivir",0.160714,1379.9
116cab69718985e58ade3a4386b8d2ed,16,116cab69718985e58ade3a4386b8d2ed_linea_16.jpg,"a traves de la escítura, esuibia para que me recuerdes.","a través de la escritura, escribir para que me recuerdes.",0.105263,1698.6
116cab69718985e58ade3a4386b8d2ed,17,116cab69718985e58ade3a4386b8d2ed_linea_17.jpg,"Todor alaban el frisman a mío y yo, porque es el primera","Todos alaban el primer amor y yo, porque es el primero",0.166667,1713.4
116cab69718985e58ade3a4386b8d2ed,18,116cab69718985e58ade3a4386b8d2ed_linea_18.jpg,"que olvidaré, quiero tables del último. Use último irresparad","que olvidaré, quiero hablar del último. Ese último inesperado,",0.145161,1811.0
116cab69718985e58ade3a4386b8d2ed,19,116cab69718985e58ade3a4386b8d2ed_linea_19.jpg,apulquico y nibrante a través del cual agarré la juventud ya,químico y vibrante a través del cual agarré la juventud ya,0.103448,1867.8
116cab69718985e58ade3a4386b8d2ed,20,116cab69718985e58ade3a4386b8d2ed_linea_20.jpg,bendida. Casa fue su importancia.,perdida. Esa fue su importancia.,0.125000,915.1
116cab69718985e58ade3a4386b8d2ed,21,116cab69718985e58ade3a4386b8d2ed_linea_21.jpg,Fuiste el puente ante el yo final y al yo anterior.,Fuiste el puente entre el yo final y el yo anterior.,0.057692,1198.1
116cab69718985e58ade3a4386b8d2ed,22,116cab69718985e58ade3a4386b8d2ed_linea_22.jpg,"Pero ahora ni miquiero lo mecesrito más, tole llege",Pero ahora ni siquiera lo necesito más. Solo llega,0.160000,1497.2
116cab69718985e58ade3a4386b8d2ed,23,116cab69718985e58ade3a4386b8d2ed_linea_23.jpg,el recuerdo y da celor á los días quices i iqueles. Tristes.,el recuerdo y da calor a los días grises e iguales. Tristes.,0.133333,1970.1
116cab69718985e58ade3a4386b8d2ed,24,116cab69718985e58ade3a4386b8d2ed_linea_24.jpg,"ba añatempa ya no es de ti. ser de mi. De lo que pii, quiés","La añoranza ya no es de ti. Es de mi. De lo que fui, quién",0.206897,1904.1
116cab69718985e58ade3a4386b8d2ed,25,116cab69718985e58ade3a4386b8d2ed_linea_25.jpg,fui y que pierito que huye aceleradamente.,fui y que siento que huye aceleradamente.,0.073171,1334.0
116cab69718985e58ade3a4386b8d2ed,26,116cab69718985e58ade3a4386b8d2ed_linea_26.jpg,""" ""Ví día has de perdinar habite usado para resistis of",Un día has de perdonar haberme usado para resistir el,0.226415,1615.8
116cab69718985e58ade3a4386b8d2ed,27,116cab69718985e58ade3a4386b8d2ed_linea_27.jpg,para del tiempo y tómbién freguntarte cómo y por qué le,paso del tiempo y también preguntarte cómo y por qué te,0.090909,1529.9
116cab69718985e58ade3a4386b8d2ed,29,116cab69718985e58ade3a4386b8d2ed_linea_29.jpg,"Olvidé tu nombre, tus falovae sumimades o gitadas, la","Olvidé tu nombre, tus palabras susurradas o gritadas, las",0.210526,1869.3
116cab69718985e58ade3a4386b8d2ed,30,116cab69718985e58ade3a4386b8d2ed_linea_30.jpg,palabrae tiermar o vulgaras que intércanbianes. Peronecuado,palabras tiernas o vulgares que intercambiamos. Pero recuerdo,0.196721,1740.9
116cab69718985e58ade3a4386b8d2ed,31,116cab69718985e58ade3a4386b8d2ed_linea_31.jpg,"tu rosto, tu cuerfu, la ""friso con que vos desmudarno y se","tu rostro, tu cuerpo, la prisa con que nos desnudamos y el",0.224138,1981.4
116cab69718985e58ade3a4386b8d2ed,32,116cab69718985e58ade3a4386b8d2ed_linea_32.jpg,afan con que nos amá bemos.,afán con que nos amábamos.,0.115385,968.6
116cab69718985e58ade3a4386b8d2ed,33,116cab69718985e58ade3a4386b8d2ed_linea_33.jpg,"' Alas , in mi invieruo, me fuepero para la malo que un","Ahora, en mi invierno, me preparo para la nada que me",0.301887,1642.3
116cab69718985e58ade3a4386b8d2ed,35,116cab69718985e58ade3a4386b8d2ed_linea_35.jpg,'ba vida conveció en una pizarra en blanco es lo,La vida convertida en una pizarra en blanco es lo,0.122449,1795.2
116cab69718985e58ade3a4386b8d2ed,36,116cab69718985e58ade3a4386b8d2ed_linea_36.jpg,regale de los diores pas poderóno humdir un la invininen,regalo de los dioses para podernos hundir en la inminен,0.236364,1578.7
116cab69718985e58ade3a4386b8d2ed,37,116cab69718985e58ade3a4386b8d2ed_linea_37.jpg,día de las desaparicion sin moblagicia ni tiuteza.,cia de la desaparición sin nostalgia ni tristeza.,0.244898,1531.3
116cab69718985e58ade3a4386b8d2ed,38,116cab69718985e58ade3a4386b8d2ed_linea_38.jpg,". Y aunque se uni nombre, te agradesw la vida que une","Y aunque sé mi nombre, te agradezco la vida que me",0.200000,1440.3
116cab69718985e58ade3a4386b8d2ed,39,116cab69718985e58ade3a4386b8d2ed_linea_39.jpg,dune y me despido de eso.,diste y me despido de eso.,0.115385,976.0
1a250be97f3c58f4524a3ce4c70ce7c0,1,1a250be97f3c58f4524a3ce4c70ce7c0_linea_01.jpg,"tacular , captar la estimu","tacular, captar la estimu",0.040000,873.1
1a250be97f3c58f4524a3ce4c70ce7c0,2,1a250be97f3c58f4524a3ce4c70ce7c0_linea_02.jpg,nuestros sentidos . El colo,nuestros sentidos. El colo,0.038462,873.5
1a250be97f3c58f4524a3ce4c70ce7c0,3,1a250be97f3c58f4524a3ce4c70ce7c0_linea_03.jpg,tilizarse para sugerir,tilizarse para sugeri,0.047619,778.0
1a250be97f3c58f4524a3ce4c70ce7c0,4,1a250be97f3c58f4524a3ce4c70ce7c0_linea_04.jpg,mar el carácter de una,tuar el carácter de una,0.086957,787.8
1a250be97f3c58f4524a3ce4c70ce7c0,5,1a250be97f3c58f4524a3ce4c70ce7c0_linea_05.jpg,así como para crear un,así como para crear un,0.000000,730.9
1a250be97f3c58f4524a3ce4c70ce7c0,6,1a250be97f3c58f4524a3ce4c70ce7c0_linea_06.jpg,sta emocional en la m,sta emocional en la m,0.000000,719.8
1a250be97f3c58f4524a3ce4c70ce7c0,7,1a250be97f3c58f4524a3ce4c70ce7c0_linea_07.jpg,expectador . Este afecta a,espectador. Este afecta a,0.080000,860.0
1a250be97f3c58f4524a3ce4c70ce7c0,8,1a250be97f3c58f4524a3ce4c70ce7c0_linea_08.jpg,emociones mucho más a,s emociones mucho más d,0.130435,754.6
1a250be97f3c58f4524a3ce4c70ce7c0,9,1a250be97f3c58f4524a3ce4c70ce7c0_linea_09.jpg,creemos y puede mani,creemos y puede mani,0.000000,771.6
1a250be97f3c58f4524a3ce4c70ce7c0,10,1a250be97f3c58f4524a3ce4c70ce7c0_linea_10.jpg,quier estado . Exponem.,lquier estado. Exponem,0.136364,815.4
1a250be97f3c58f4524a3ce4c70ce7c0,11,1a250be97f3c58f4524a3ce4c70ce7c0_linea_11.jpg,s consideraciones estetica,s consideraciones estética,0.038462,724.5
1dbe0edcd13c319f5c5ee6ecaeec2b9e,1,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_01.jpg,Mi huna...,Mi lund...,0.200000,548.9
1dbe0edcd13c319f5c5ee6ecaeec2b9e,2,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_02.jpg,Poeche que el tiempo haya pasado,Puede que el tiempo haya pasado,0.096774,802.0
1dbe0edcd13c319f5c5ee6ecaeec2b9e,3,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_03.jpg,pero no ha borrado ni un sólo,pero no ha borrado ni un solo,0.034483,838.5
1dbe0edcd13c319f5c5ee6ecaeec2b9e,4,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_04.jpg,milímetro de tu piel en mi memoria,milímetro de tu piel en mi memoria.,0.028571,991.5
1dbe0edcd13c319f5c5ee6ecaeec2b9e,5,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_05.jpg,Aveces me gusta cerrar les exps,A veces me gusta cerrar los ojos,0.156250,984.2
1dbe0edcd13c319f5c5ee6ecaeec2b9e,6,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_06.jpg,sólo para tener el placer de recordarte,solo para tener el placer de recordarte,0.025641,990.5
1dbe0edcd13c319f5c5ee6ecaeec2b9e,7,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_07.jpg,o me gusta morder mis labios pensando,o me gusta morder mis labios pensando,0.000000,988.9
1dbe0edcd13c319f5c5ee6ecaeec2b9e,8,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_08.jpg,que tu beso que el culpable.,que tu beso fue el culpable.,0.035714,783.3
1dbe0edcd13c319f5c5ee6ecaeec2b9e,9,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_09.jpg,Tú has sido la más hermosa realidad,Tú has sido la más hermosa realidad,0.000000,983.6
1dbe0edcd13c319f5c5ee6ecaeec2b9e,10,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_10.jpg,que ho tenido pero llegaste demasiado,que he tenido pero llegaste demasiado,0.027027,990.8
1dbe0edcd13c319f5c5ee6ecaeec2b9e,11,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_11.jpg,tarde y te puesto demasiado ponto.,tarde y te fuiste demasiado pronto.,0.114286,1053.2
1dbe0edcd13c319f5c5ee6ecaeec2b9e,12,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_12.jpg,Aquí algo esperando lo resperado :,Aquí sigo esperando lo inesperado:,0.147059,993.1
1dbe0edcd13c319f5c5ee6ecaeec2b9e,13,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_13.jpg,"decirte "" buenas noches"" y Buenos diés""","decirte ""buenas noches"" y ""buenos días""",0.128205,1300.8
1dbe0edcd13c319f5c5ee6ecaeec2b9e,14,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_14.jpg,sin haberme ido de tu ludo . Te extrano.,sin haberme ido de tu lado... Te extraño...,0.139535,1214.0
1dbe0edcd13c319f5c5ee6ecaeec2b9e,15,1dbe0edcd13c319f5c5ee6ecaeec2b9e_linea_15.jpg,- ACCIÓN JULIÉMICA -,- Acción Julietrica -,0.666667,1013.5
25f30c6f4868022833db7c1c5b88510e,1,25f30c6f4868022833db7c1c5b88510e_linea_01.jpg,¿ Rocuerdos aquella tarde,¿Recuerdas aquella tarde,0.125000,863.3
25f30c6f4868022833db7c1c5b88510e,2,25f30c6f4868022833db7c1c5b88510e_linea_02.jpg,que jugamos tojo lo lloría,que jugamos bajo la lluvia?,0.259259,855.8
25f30c6f4868022833db7c1c5b88510e,3,25f30c6f4868022833db7c1c5b88510e_linea_03.jpg,no te lo he dicho,No te lo he dicho,0.058824,654.6
25f30c6f4868022833db7c1c5b88510e,4,25f30c6f4868022833db7c1c5b88510e_linea_04.jpg,pero nunca había sido tan felir ...,pero nunca había sido tan feliz...,0.058824,790.0
25f30c6f4868022833db7c1c5b88510e,5,25f30c6f4868022833db7c1c5b88510e_linea_05.jpg,ju cuerpo se convertió,Su cuerpo se convirtió,0.090909,851.7
25f30c6f4868022833db7c1c5b88510e,6,25f30c6f4868022833db7c1c5b88510e_linea_06.jpg,en un sexto continente,en un sexto continente,0.000000,724.7
25f30c6f4868022833db7c1c5b88510e,7,25f30c6f4868022833db7c1c5b88510e_linea_07.jpg,"que sojo yo puedo exejonar,","que solo yo puedo explorar,",0.148148,920.2
25f30c6f4868022833db7c1c5b88510e,8,25f30c6f4868022833db7c1c5b88510e_linea_08.jpg,tu miraca que el resumen,Tu mirada fue el resumen,0.125000,779.8
25f30c6f4868022833db7c1c5b88510e,9,25f30c6f4868022833db7c1c5b88510e_linea_09.jpg,de todos los placeres terrenales,de todos los placeres terrenales,0.000000,921.5
25f30c6f4868022833db7c1c5b88510e,10,25f30c6f4868022833db7c1c5b88510e_linea_10.jpg,"y tus besos,","y tus besos,",0.000000,730.3
25f30c6f4868022833db7c1c5b88510e,11,25f30c6f4868022833db7c1c5b88510e_linea_11.jpg,te juro que tus besos ese deá,te juro que tus besos ese día,0.068966,1052.2
25f30c6f4868022833db7c1c5b88510e,12,25f30c6f4868022833db7c1c5b88510e_linea_12.jpg,supieron tofuarme el alma,supieron tatuarme el alma,0.080000,789.8
25f30c6f4868022833db7c1c5b88510e,13,25f30c6f4868022833db7c1c5b88510e_linea_13.jpg,¡ brocias por ese momento,¡Gracias por ese momento,0.125000,831.6
25f30c6f4868022833db7c1c5b88510e,14,25f30c6f4868022833db7c1c5b88510e_linea_14.jpg,y gracias por existir !,y gracias por existir!,0.045455,786.9
25f30c6f4868022833db7c1c5b88510e,15,25f30c6f4868022833db7c1c5b88510e_linea_15.jpg,- aceión tutética -,- Acción Poética -,0.277778,786.8
31457557ed859659054044d6c20746ba,2,31457557ed859659054044d6c20746ba_linea_02.jpg,"negra cual foso insondable,","negra cual foso insondable,",0.000000,938.9
31457557ed859659054044d6c20746ba,3,31457557ed859659054044d6c20746ba_linea_03.jpg,dgradezco la los dioses si existieron,agradezco a los dioses si existieren,0.083333,1130.7
